name,category,quantity,unit_price,cost_price,unit,brand,model_variant,description,low_stock_alert,available_for_sale,tax,tags,main_image_url,expiry_date,status,return_policy
Whippy Mayonnaise Sachet,Mayonnaise & Spreads,1,300,250,Roll,Whippy,,"Recorded: 1 Roll | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1589135233689-d49fc3b25933?w=600&auto=format&fit=crop&q=80,2027-06-18,active,
Crown Premium,Groceries,2,3120,2600,Carton,Crown,,"Recorded: 2 Cartons | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1542838132-92c53300491e?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Crown Thick,Groceries,1,2880,2400,Carton,Crown,,"Recorded: 1 Carton | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1542838132-92c53300491e?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Star Maggi,Seasonings & Spices,2,2640,2200,Carton,Maggi,,"Recorded: 2 Cartons | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
5 Liters Emperor Oil,Cooking Oil,4,16200,13500,Carton,Emperor,,"Recorded: 4 Cans (1 Carton) | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
5 Liters Kings Oil,Cooking Oil,8,16200,13500,Carton,Kings,,"Recorded: 8 Cans (2 Cartons) | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
5 Liters Golden Terra Oil (Promo Pack),Cooking Oil,4,16200,13500,Carton,Golden Terra,,"Recorded: 4 Cans (1 Carton) | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
5 Liters Golden Terra Oil (Normal),Cooking Oil,4,16200,13500,Carton,Golden Terra,,"Recorded: 4 Cans (1 Carton) | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
3 Liters Golden Terra Oil,Cooking Oil,12,10200,8500,Carton,Golden Terra,,"Recorded: 12 Cans (2 Cartons) | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
3 Liters Emperor Oil,Cooking Oil,6,10200,8500,Carton,Emperor,,"Recorded: 6 Cans (1 Carton) | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
1Kg Golden Penny Semovita,Grains & Pasta,10,1920,1600,Sachet,Golden Penny,,"Recorded: 10 Sachets (1 Bag) | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
2Kg Golden Penny Semovita,Grains & Pasta,5,3600,3000,Sachet,Golden Penny,,"Recorded: 5 Sachets (1 Bag) | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Superpack Noodles,Grains & Pasta,3,5760,4800,Carton,Super Pack,,"Recorded: 3 Cartons | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1612927601601-6638404737ce?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Belleful Noodles,Grains & Pasta,3,5400,4500,Carton,Belleful,,"Recorded: 3 Cartons | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1612927601601-6638404737ce?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Golden Penny Spaghetti,Grains & Pasta,3,6240,5200,Carton,Golden Penny,,"Recorded: 3 Cartons | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1551462147-ff29053bfc14?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Hungry Man Noodles,Grains & Pasta,3,5520,4600,Carton,Hungry Man,,"Recorded: 3 Cartons | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1612927601601-6638404737ce?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Indomitables Noodles,Grains & Pasta,2,4560,3800,Carton,Indomie,,"Recorded: 2 Cartons | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1612927601601-6638404737ce?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Minimie Noodles,Grains & Pasta,1,4320,3600,Carton,Minimie,,"Recorded: 1 Carton | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1612927601601-6638404737ce?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Ric Spaghetti,Grains & Pasta,1,5760,4800,Carton,Ric,,"Recorded: 1 Carton | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1551462147-ff29053bfc14?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Golden Penny Twist,Grains & Pasta,3,6240,5200,Carton,Golden Penny,,"Recorded: 3 Cartons | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1551462147-ff29053bfc14?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Royco,Seasonings & Spices,1,2160,1800,Carton,Royco,,"Recorded: 1 Carton | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Knorr Chicken,Seasonings & Spices,1,2640,2200,Carton,Knorr,,"Recorded: 1 Carton | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Knorr (Normal),Seasonings & Spices,1,2400,2000,Carton,Knorr,,"Recorded: 1 Carton | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Terra Chicken,Groceries,1,2160,1800,Carton,Terra,,"Recorded: 1 Carton | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Terra Gold,Groceries,1,2160,1800,Carton,Golden Terra,,"Recorded: 1 Carton | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Terra Beef,Groceries,1,2160,1800,Carton,Terra,,"Recorded: 1 Carton | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
1Kg Sonia Sachet Tomatoes,Tomato & Pepper Paste,6,3000,2500,Sachet,Sonia,,"Recorded: 6 Sachets | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
210g Sonia Sachet Tomatoes,Tomato & Pepper Paste,12,1080,900,Sachet,Sonia,,"Recorded: 12 Sachets | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
40g Sonia Sachet Tomatoes,Tomato & Pepper Paste,12,360,300,Sachet,Sonia,,"Recorded: 12 Sachets | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
210g Sonia Mix (Pepper/Onion),Tomato & Pepper Paste,12,1080,900,Sachet,Sonia,,"Recorded: 12 Sachets | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
400g One Native Sachet Tomatoes,Tomato & Pepper Paste,12,1200,1000,Sachet,One Native,,"Recorded: 12 Sachets | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
55g Tasty Tom Sachet Tomatoes,Tomato & Pepper Paste,2,360,300,Carton,Tasty Tom,,"Recorded: 2 Cartons | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
50g Gino Party Jollof,Seasonings & Spices,2,360,300,Carton,Gino,,"Recorded: 2 Cartons | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
55g Gino Tomatoes Sachet,Tomato & Pepper Paste,2,360,300,Carton,Gino,,"Recorded: 2 Cartons | Price per single piece | Source: Page 2, 21/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
1.7Kg Viva Plus,Home Care & Detergents,1,3840,3200,Carton,Viva Plus,,"Recorded: 1 Carton (4 Bags) | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1583947215259-38e31be8751f?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
1.7Kg Good Mama,Home Care & Detergents,1,3840,3200,Carton,Good Mama,,"Recorded: 1 Carton (4 Bags) | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1583947215259-38e31be8751f?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
800g Good Mama,Home Care & Detergents,1,2040,1700,Carton,Good Mama,,"Recorded: 1 Carton (6 + 1 extra) | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1583947215259-38e31be8751f?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
250g Viva Plus,Home Care & Detergents,1,840,700,Carton,Viva Plus,,"Recorded: 1 Carton (24 pieces) | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1583947215259-38e31be8751f?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
1Kg Honeywell Wheat,Grains & Pasta,1,2040,1700,Sachet,Honeywell,,"Recorded: 1 Bag (10 Sachets) | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
2Kg Honeywell Wheat,Grains & Pasta,1,3840,3200,Sachet,Honeywell,,"Recorded: 1 Bag (5 Sachets) | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
1Kg Ayoola Poundo Yam,Grains & Pasta,4,2400,2000,Piece,Ayoola,,"Recorded: 4 Pieces | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
2Kg Ayoola Poundo Yam,Grains & Pasta,3,4560,3800,Piece,Ayoola,,"Recorded: 3 Pieces | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
So Klin 1.7Kg,Home Care & Detergents,2,3840,3200,Piece,So Klin,,"Recorded: 2 Pieces | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1583947215259-38e31be8751f?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
So Klin 800g,Home Care & Detergents,3,2040,1700,Piece,So Klin,,"Recorded: 3 Pieces | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1583947215259-38e31be8751f?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
Gino Curry,Seasonings & Spices,10,1800,1500,Roll,Gino,,"Recorded: 10 Rolls x 20 | Price per single piece | NOTE: Written as a multiple - verify total pieces intended | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
800g Viva Plus,Home Care & Detergents,7,2040,1700,Packet,Viva Plus,,"Recorded: 7 Packets | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1583947215259-38e31be8751f?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
Hypo Liquid 1 Liter,Home Care & Detergents,12,1560,1300,Bottle,Hypo,,"Recorded: 12 Bottles | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1585670270677-43ce90520613?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
Hypo Liquid 500ml,Home Care & Detergents,12,900,750,Bottle,Hypo,,"Recorded: 12 Bottles | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1585670270677-43ce90520613?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
20g Milo,Beverages & Dairy,200,145,120,Roll,Milo,,"Recorded: 200 (10 Rolls x 20 pieces) | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1544787219-7f47ccb76574?w=600&auto=format&fit=crop&q=80,2027-03-19,active,
Sonia Mix,Tomato & Pepper Paste,2,1080,900,Carton,Sonia,,"Recorded: 2 Cartons | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
170g Good Mama,Home Care & Detergents,13,540,450,Sachet,Good Mama,,"Recorded: 13 Sachets | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1583947215259-38e31be8751f?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
170g So Klin,Home Care & Detergents,13,540,450,Sachet,So Klin,,"Recorded: 13 Sachets | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1583947215259-38e31be8751f?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
170g Viva Plus,Home Care & Detergents,12,540,450,Sachet,Viva Plus,,"Recorded: 12 Sachets | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1583947215259-38e31be8751f?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
226ml Bama,Mayonnaise & Spreads,12,1200,1000,Bottle,Bama,,"Recorded: 12 Bottles | Price per single piece | NOTE: Possible duplicate of ""226ml Bama Mayonnaise"" further down - verify before importing both | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1589135233689-d49fc3b25933?w=600&auto=format&fit=crop&q=80,2027-06-18,active,
245g Whippy Mayonnaise,Mayonnaise & Spreads,0,300,250,Piece,Whippy,,"Recorded: STRUCK OUT IN ORIGINAL | Price per single piece | NOTE: This line and its quantity were crossed out by the writer - excluded from totals, listed here for reference only | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1589135233689-d49fc3b25933?w=600&auto=format&fit=crop&q=80,2027-06-18,active,
Hypo Sachet,Home Care & Detergents,100,145,120,Sachet,Hypo,,"Recorded: 100 Sachets + 12 extra | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1585670270677-43ce90520613?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
2Kg Checkers Custard Vanilla,Custard,3,4560,3800,Piece,Checkers,,"Recorded: 3 Pieces | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1587314168485-3236d6710814?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
2Kg Checkers Custard Banana,Custard,1,4560,3800,Piece,Checkers,,"Recorded: 1 Piece | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1587314168485-3236d6710814?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
2Kg Checkers Custard Milk,Custard,2,4560,3800,Piece,Checkers,,"Recorded: 2 Pieces | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
810ml Bama Mayonnaise,Mayonnaise & Spreads,12,3120,2600,Bottle,Bama,,"Recorded: 12 Bottles | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1589135233689-d49fc3b25933?w=600&auto=format&fit=crop&q=80,2027-06-18,active,
910ml Whippy Mayonnaise,Mayonnaise & Spreads,12,3360,2800,Bottle,Whippy,,"Recorded: 12 Bottles | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1589135233689-d49fc3b25933?w=600&auto=format&fit=crop&q=80,2027-06-18,active,
400ml Whippy Mayonnaise,Mayonnaise & Spreads,12,1920,1600,Bottle,Whippy,,"Recorded: 12 Bottles | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1589135233689-d49fc3b25933?w=600&auto=format&fit=crop&q=80,2027-06-18,active,
245ml Whippy Mayonnaise,Mayonnaise & Spreads,12,420,350,Bottle,Whippy,,"Recorded: 12 Bottles | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1589135233689-d49fc3b25933?w=600&auto=format&fit=crop&q=80,2027-06-18,active,
226ml Bama Mayonnaise,Mayonnaise & Spreads,12,1200,1000,Bottle,Bama,,"Recorded: 12 Bottles | Price per single piece | NOTE: Possible duplicate of ""226ml Bama"" above - verify before importing both | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1589135233689-d49fc3b25933?w=600&auto=format&fit=crop&q=80,2027-06-18,active,
385ml Bama Mayonnaise,Mayonnaise & Spreads,12,1860,1550,Bottle,Bama,,"Recorded: 12 Bottles | Price per single piece | Source: Page 3, 03/09/2026",5,YES,0,stock-count,https://images.unsplash.com/photo-1589135233689-d49fc3b25933?w=600&auto=format&fit=crop&q=80,2027-06-18,active,
